symbol	old_symbol
ADGRL3	LPHN3
ADGRL3-AS1	LPHN3-AS1
ADGRL4	ETL
ADGRL4	ELTD1
ADGRV1	DKFZp761P0710
ADGRV1	KIAA0686
ADGRV1	FEB4
ADGRV1	VLGR1
ADGRV1	USH2C
ADGRV1	MASS1
ADGRV1	GPR98
ADH1A	ADH1
ADH1B	ADH2
ADH1C	ADH3
ADH4	ADH-2
ADH5	ADH-3
ADH5	ADHX
ADH5	GSNOR
ADH5	FDH
ADH5P2	
ADH5P3	
ADH5P4	bA707M13.2
ADH5P4	ADH5B
ADH5P5	
ADH6	ADH-5
ADH7	ADH-4
ADHFE1	FLJ32430
ADI1	SIPL
ADI1	MTCBP-1
ADI1	ARD
ADI1	APL1
ADI1	FLJ10913
ADI1	HMFT1638
ADI1	mtnD
ADI1P1	
ADI1P2	
ADI1P3	
ADIG	MGC39724
ADIG	SMAF1
ADIG	RP5-1100H13.2
ADIPOQ	ACRP30
ADIPOQ	apM1
ADIPOQ	GBP28
ADIPOQ	adiponectin
ADIPOQ	ACDC
ADIPOQ-AS1	
ADIPOR1	PAQR1
ADIPOR1	ACDCR1
ADIPOR1P1	
ADIPOR1P2	
ADIPOR2	PAQR2
ADIPOR2	ACDCR2
ADIRF	APM2
ADIRF	AFRO
ADIRF	C10orf116
ADIRF-AS1	
ADK	AK
ADM	AM
ADM2	AM2
ADM2	FLJ21135
ADM5	AM5
ADM5	C19orf76
ADNP	KIAA0784
ADNP	ADNP1
ADNP-AS1	
ADNP2	KIAA0863
ADNP2	ZNF508
ADO	FLJ14547
ADO	C10orf22
ADORA1	RDC7
ADORA2A	RDC8
ADORA2A	ADORA2
ADORA2A-AS1	FLJ34651
ADORA2A-AS1	C22orf45
ADORA2B	
ADORA2BP1	ADORA2BP
ADORA3	AD026
ADORA3	A3AR
ADPGK	DKFZp434B195
ADPGK	ADP-GK
ADPGK-AS1	
ADPRH	ARH1
ADPRHL1	ARH2
ADPRM	MDS006
ADPRM	C17orf48
ADPRS	ARH3
ADPRS	FLJ20446
ADPRS	ADPRHL2
ADRA1A	ADRA1L1
ADRA1A	ADRA1C
ADRA1B	
ADRA1D	ADRA1R
ADRA1D	ADRA1A
ADRA1D	ADRA1
ADRA2A	ADRAR
ADRA2A	ADRA2
ADRA2A	ADRA2R
ADRA2B	ADRARL1
ADRA2B	ADRA2L1
ADRA2B	ADRA2RL1
ADRA2C	ADRARL2
ADRA2C	ADRA2L2
ADRA2C	ADRA2RL2
ADRB1	ADRB1R
ADRB2	ADRBR
ADRB2	BAR
ADRB2	B2AR
ADRB2	ADRB2R
ADRB3	
ADRM1	GP110
ADRM1	Rpn13
ADRM1	ARM1
ADSL	
ADSS1	FLJ38602
ADSS1	ADSSL1
ADSS2	ADSS
ADTRP	dJ413H6.1
ADTRP	AIG1L
ADTRP	C6orf105
AEBP1	ACLP
AEBP2	MGC17922
AEN	FLJ12484
AEN	FLJ12562
